Astronomers study Earths larger environment: the solar system, galaxy, and universe that our planet resides in .	What branch of science deals with stars and galaxies beyond Earth?	where does the solar irradiation study share ?
Meteorologists study the atmosphere including climate and weather .	What does a meteorologist study?	what study did the study study for climate and weather ?
Ocean waves are energy traveling through water .	What are waves?	how are infrared waves used through water ?
Sediment in ocean water acts like sandpaper . Over time, it erodes the shore .	How do ocean waves cause erosion?	what is the name of the area that exploits water acts in earth ?
Glaciers are masses of flowing ice .	What is a glacier?	what are ogives ?
Fossils are preserved remains or traces of organisms that lived in the past .	What are fossils?	what is preserved in the past in the past ?
An unconformity is a gap in rock layers . They occur where older rock layers eroded away completely before new rock layers were deposited .	What are unconformities?	what is a gap in rock layers ?
Freshwater is water that contains little or no salt .	What is freshwater?	what is water that contains little or no salt ?
Most of Earths freshwater is frozen in ice caps and glaciers .	Where is most of Earths freshwater found?	what do glaciers receive in ice caps and glaciers ?
A wetland is an area that is wet for all or part of the year .	What is a wetland?	what is the area that is heated for all or part of the year ?
Many people get their freshwater from an aquifer . They obtain the water through a well . A well is a hole that is dug or drilled through the ground down to an aquifer .	What is the purpose of a well?	how is the water stored in the ground ?
Most ocean waves are caused by winds . The size of a wave depends on how fast, how far, and how long the wind blows .	What factors determine how big a wave is?	what size of water is caused by wind wavelengths ?
Earths rotation influences their direction . This is called the Coriolis effect .	What is the Coriolis effect?	what is the uncertainty on the direction of the uncertainty ?
Phytoplankton are the primary producers in the ocean . They form the base of most marine food chains .	What are phytoplankton?	what are most marine chains in the ocean called ?
Three main groups of ocean life are plankton, nekton, and benthos . Benthos live on the ocean floor .	Where do benthos live?	what are gentians ?
Greenhouse gases in the atmosphere absorb heat . This is called the greenhouse effect and it makes the planet warmer .	What is the greenhouse effect?	what happens in the atmosphere of sunlight in the atmosphere ?
The troposphere is the lowest layer . Temperature decreases with altitude in this layer .	How does temperature change in the troposphere?	what determines the lowest layer in a layer ?
A microclimate is a local climate that differs from the major climate type around it . For example, the south-facing side of a hill may have a warmer microclimate .	What is a microclimate?	what is the name of the local type of climate in mexico city ?
Love Canal highlighted the problem of pollution by hazardous waste .	What was learned from Love Canal?	what was the problem of pollution that causes pollution by pollution ?
Hazardous waste is any waste that is dangerous to the health of people or the environment . It may be toxic, corrosive, flammable, or explosive .	What is hazardous waste?	what is a waste that can be dangerous ?
Topography describes how Earths surface varies in elevation .	What is topography?	what type of surface varies in elevation varies in elevation ?
Location information, satellite views, and other information can be linked together in Geographical Information Systems (GIS) .	What is Geographical Information System, or GIS, used for?	what is the name of the satellite that can be linked in megapodes ?
Conservation means saving resources .	What is conservation?	what does nyaya mean ?
About half the energy used in the U .S . is used in homes and for transportation .	What are the main ways energy is used in the U.S.?	where is half energy used in homes ?
There are two basic ways to conserve energy . You can use less energy . You can also use energy more efficiently .	What are the two basic ways of conserving energy?	what can use energy more energy do ?
Irrigation for agriculture uses the most water .	What is the single biggest use of water in agriculture?	what is the most water for agriculture called ?
Thermal pollution raises the temperature of water .	What is thermal pollution?	what affects the temperature of water ?
The Montreal Protocol of 1987 bans CFCs . The purpose is to protect the ozone layer in the stratosphere .	What is the Montreal Protocol?	what does liquidmetal stand for ?
Newtons third law explains how a rocket works . The action force of the engine on the gases is accompanied by a reaction force of the gases on the rocket .	How does a rocket work?	what is another name for third law ?
The launch of the Sputnik 1 satellite started the Space Race between the United States and the Soviet Union .	What was Sputnik?	where did the first satellite start ?
Space shuttles are reusable vehicles for American astronauts to get into space .	What is a space shuttle?	what type of vehicles are offered to deliver space for space ?
The Moon has dark areas, called maria, surrounded by lighter colored highland areas, called terrae .	What is the difference between maria and terrae?	what is hakobyan traductorum by ?
The Sun is mostly hydrogen with smaller amounts of helium .	What is the Sun mostly made of?	what is another name for the small amount of methane in the intermontane plateaus ?
Nuclear fusion of hydrogen in the core of the Sun produces tremendous amounts of energy that radiate out from the Sun .	Where does the Suns energy come from?	what produces shock in a core of energy that ions out from the sidelines ?
Pluto, Eris, Ceres, Makemake and Haumea are dwarf planets .	What are the names of the dwarf planets?	what are neptune 's orbit ?
Long-period comets come from the very distant Oort cloud .	What comes from the Oort Cloud?	where did the sands get from ?
Short-period comets come from the Kuiper belt, beyond Neptune .	What comes from the Kuiper Belt?	where did the sands sidewinders come from ?
The color of a star is determined by its surface temperature .	What do the colors of stars mean?	what is determined by the surface temperature ?
Open clusters are groups of young stars loosely held together by gravity . Globular clusters are spherical groups of old stars held tightly together by gravity .	What is the difference between a globular cluster and an open cluster?	what are clusters of young stars called ?
Spiral galaxies have a rotating disk of stars and dust, a bulge in the middle, and several arms spiraling out from the center .	What are the features of a spiral galaxy?	what does the massed disk represent ?
Typical elliptical galaxies are oval shaped, red or yellow, and contain mostly old stars .	What are the features of an elliptical galaxy?	what is the old name for neptune ?
Igneous rocks form either when they cool very slowly deep within the Earth or when magma cools rapidly at the Earths surface .	How do igneous rocks form?	when do marmots evolve ?
Very thick lava that doesnt travel very far can produce lava domes at or near the Earths surface or even within a volcano . Lava plateaus and the entire ocean floor form from large lava flows that spread out over large areas .	What types of landforms are created by lava?	what type of surfaces do marmots travel
A microscope is an instrument that makes magnified images of very small objects so they are visible to the human eye .	What is a microscope?	what is a instrument that produces objects that are visible objects ?
Mollusks have a coelom and several organ systems . Most also have a shell, head, foot, and radula, which is a feeding organ .	What are some mollusk traits?	what does the cambium have ?
Muscles are the main organs of the muscular system .	What are muscles?	what are the main organs of the nervous system ?
Your body needs food for energy, building materials, and substances that control body processes .	What are three general purposes for which the body needs food?	what does miranda stand for ?
Blood consists of liquid plasma, which contains dissolved substances, and three types of cells: red blood cells, white blood cells, and platelets .	What is blood?	what are two types of red blood sheva ?
Organs of excretion include the large intestine, liver, skin, lungs, and kidneys .	What are the organs of the excretory system?	what are the large tesserae ?
The endocrine system is a system of glands that release chemical messenger molecules called hormones into the blood stream .	What is the endocrine system?	what are hormones called in the blood stream ?
The hypothalamus is part of the brain and also secretes hormones, thus connecting the nervous and endocrine systems .	How are the nervous and endocrine systems connected?	what part of the brain controls the nervous and norepinephrine systems ?
Infectious diseases are diseases that are caused by pathogens .	What is an infectious disease?	what diseases are caused by pathogens ?
The male reproductive system has two main functions: producing sperm and secreting testosterone .	What are the two main roles of the male reproductive system?	what is the name of the male reproductive system ?
Sperm are male gametes .	What are sperm?	what are male cells ?
A sexually transmitted infection (STI) is a disease that spreads mainly through sexual contact .	What is a sexually transmitted infection?	what is a disease that exploits tb infection ?
Ecology is the science of how living things interact with each other and their environment .	What is ecology?	what is the science of the living creatures called ?
A biome is a group of similar ecosystems with the same general abiotic factors and primary producers .	What is a biome?	what is the group of ecosystems ?
A natural resource is something supplied by nature that helps support life .	What is a natural resource?	how does natural resource supply support ?
The geologic time scale is used to organize the vast expanse of time since Earth formed . It is based on major events in the history of Earth and its living things .	What is the geologic time scale?	what is used to organize the vast land of time ?
Radioactive decay is the process in which unstable nuclei become stable by emitting particles and energy and changing to different elements .	What is radioactive decay?	what form is formed in the form of isotopes ?
Distance is the length of the route between two points .	What is distance?	what is the length of the road between two points ?
Speed is a measure of how fast or slow something moves .	What is speed?	what is a measure of the fast or slow time ?
Acceleration is a measure of the change in velocity of a moving object .	What is acceleration?	what is a measure of the change ?
To calculate acceleration without a change in direction, divide the change in velocity by the change in time .	How is acceleration calculated?	what do the change in time measure ?
The slope of a velocity-time graph represents acceleration .	What does the slope of a velocity-time graph represent?	what represents torque ?
Friction is a force that opposes motion between two surfaces that are touching .	What is friction?	what is a force that believes that discussions between two layers that are visible ?
Elasticity is the ability of a material to return to its original shape after being stretched or compressed .	What is elasticity?	what is the ability of a material to return ?
The inertia of an object depends on its mass . Objects with greater mass have greater inertia .	How does an objects mass affect its inertia?	what does schweizer distortion cause ?
Weight is a measure of the force of gravity pulling on an object of a given mass .	What is weight?	what is a measure of gravity ?
Buoyancy is the ability of a fluid to exert an upward force on any object placed in it .	What is buoyancy?	what is the ability of a fluid in a manual force ?
Power is a measure of the amount of work that can be done in a given amount of time .	What does power measure?	what is a measure of al-shifa ?
An inclined plane is a simple machine consisting of a sloping surface that connects lower and higher elevations .	What is an inclined plane?	what is a simple surface that connects closer and higher ranges ?
A compound machine consists of two or more simple machines .	What is a compound machine?	how many or most simple machines are in a building ?
Potential energy is the energy stored in an object because of its position or shape .	What is potential energy?	how is energy stored in an object ?
Convection is the transfer of thermal energy by particles moving through a fluid .	What is convection?	what is the transfer of thermal energy by particles moving through a fluid ?
Reflection occurs when waves bounce back from a barrier they cannot pass through .	What is reflection?	what occurs when waves switch from a barrier ?
Sound is the transfer of energy from a vibrating object in waves that travel through matter .	How is sound defined?	what is the transfer of energy from a phosphorescent object ?
All electromagnetic waves travel at the same speed through space, called the speed of light, which equals 3 .0 10^8 meters per second .	What is the speed of light?	what is the speed through speeds through the same speed through quanta called ?
Earth is a giant magnet with north and south magnetic poles and a magnetic field called the magnetosphere .	What is the magnetosphere?	what is a mythological field with north and south magnetic motors called ?
A chemical bond is a force of attraction between atoms .	What is a chemical bond?	what is a force of attraction between atoms ?
An ionic bond is the force of attraction that holds together oppositely charged ions .	What is an ionic bond?	what is the force of attraction that holds together together ?
A covalent bond is the force of attraction that holds together two atoms that share a pair of electrons .	What is a covalent bond?	what is the force of attraction that holds together ?
A metallic bond is the force of attraction between a positively charged metal ion and the valence electrons it shares with other ions of the metal .	What is a metallic bond?	what is the force of attraction between the metal and the electrons ?
A chemical equation is a symbolic representation of a chemical reaction .	What is a chemical equation?	what sort of feedback is a structural representation of a chemical reaction ?
Coefficients are used to balance chemical equations .	How are coefficients used?	what is used to balance chemical equations ?
Combustion is commonly called burning . Carbon dioxide, water, and heat and light are products of combustion .	What are the products in a combustion reaction?	what is another term for diarrhea ?
Photosynthesis is the process in which plants and certain other organisms synthesize glucose from carbon dioxide and water using light energy .	What is photosynthesis?	where is the process of plants and water in plants ?
Cellular respiration is the process in which the cells of living things break down glucose with oxygen to produce carbon dioxide, water, and energy .	What is cellular respiration?	what is the process of digestion ?
